symbol	kegg_terms
NUP88	Amyotrophic lateral sclerosis,RNA transport
NUP98	Amyotrophic lateral sclerosis,Influenza A,RNA transport
PRKN	Amyotrophic lateral sclerosis,Mitophagy - animal,Parkinson disease,Pathways of neurodegeneration - multiple diseases,Protein processing in endoplasmic reticulum,Ubiquitin mediated proteolysis
DCTN4	Amyotrophic lateral sclerosis,Huntington disease,Pathways of neurodegeneration - multiple diseases,Salmonella infection,Vasopressin-regulated water reabsorption
PFN1	Amyotrophic lateral sclerosis,Rap1 signaling pathway,Regulation of actin cytoskeleton,Salmonella infection,Shigellosis
PFN2	Amyotrophic lateral sclerosis,Rap1 signaling pathway,Regulation of actin cytoskeleton,Salmonella infection,Shigellosis
NUP54	Amyotrophic lateral sclerosis,RNA transport
DNAH3	Amyotrophic lateral sclerosis,Huntington disease,Pathways of neurodegeneration - multiple diseases
NDC1	Amyotrophic lateral sclerosis,RNA transport
NUP133	Amyotrophic lateral sclerosis,RNA transport
NXT2	Amyotrophic lateral sclerosis,Influenza A,RNA transport,Ribosome biogenesis in eukaryotes,mRNA surveillance pathway
NXF3	Amyotrophic lateral sclerosis,Herpes simplex virus 1 infection,Influenza A,RNA transport,Ribosome biogenesis in eukaryotes,mRNA surveillance pathway
MAP2K6	Amyotrophic lateral sclerosis,Cellular senescence,Epstein-Barr virus infection,Fc epsilon RI signaling pathway,Fluid shear stress and atherosclerosis,GnRH signaling pathway,Growth hormone synthesis secretion and action,Hepatitis B,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Inflammatory mediator regulation of TRP channels,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,MAPK signaling pathway,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,Pathways of neurodegeneration - multiple diseases,Rap1 signaling pathway,Salmonella infection,TNF signaling pathway,Toll-like receptor signaling pathway,Toxoplasmosis,Yersinia infection
DNAH7	Amyotrophic lateral sclerosis,Huntington disease,Pathways of neurodegeneration - multiple diseases
UBQLN4	Amyotrophic lateral sclerosis,Protein processing in endoplasmic reticulum
NUP107	Amyotrophic lateral sclerosis,RNA transport
ALS2	Amyotrophic lateral sclerosis,Pathways of neurodegeneration - multiple diseases
RAB1A	Amyotrophic lateral sclerosis,Autophagy - animal,Legionellosis,Pathogenic Escherichia coli infection,Pathways of neurodegeneration - multiple diseases
RANBP2	Amyotrophic lateral sclerosis,RNA transport
BCL2L1	Amyotrophic lateral sclerosis,Apoptosis,Apoptosis - multiple species,Autophagy - animal,Chronic myeloid leukemia,EGFR tyrosine kinase inhibitor resistance,Hepatocellular carcinoma,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human immunodeficiency virus 1 infection,JAK-STAT signaling pathway,Lipid and atherosclerosis,Measles,Mitophagy - animal,NF-kappa B signaling pathway,NOD-like receptor signaling pathway,PI3K-Akt signaling pathway,Pancreatic cancer,Parkinson disease,Pathways in cancer,Pathways of neurodegeneration - multiple diseases,Platinum drug resistance,Ras signaling pathway,Shigellosis,Small cell lung cancer,Toxoplasmosis,Transcriptional misregulation in cancer,p53 signaling pathway
SEC13	Amyotrophic lateral sclerosis,Protein processing in endoplasmic reticulum,RNA transport,mTOR signaling pathway
SRSF3	Amyotrophic lateral sclerosis,Herpes simplex virus 1 infection,Spliceosome
SRSF7	Amyotrophic lateral sclerosis,Herpes simplex virus 1 infection,Spliceosome
PINK1	Amyotrophic lateral sclerosis,Mitophagy - animal,Parkinson disease,Pathways of neurodegeneration - multiple diseases
SOD1	Amyotrophic lateral sclerosis,Huntington disease,Longevity regulating pathway - multiple species,Pathways of neurodegeneration - multiple diseases,Peroxisome,Prion disease
TP53	Amyotrophic lateral sclerosis,Apoptosis,Basal cell carcinoma,Bladder cancer,Breast cancer,Cell cycle,Cellular senescence,Central carbon metabolism in cancer,Chronic myeloid leukemia,Colorectal cancer,Endocrine resistance,Endometrial cancer,Epstein-Barr virus infection,Ferroptosis,Fluid shear stress and atherosclerosis,Gastric cancer,Glioma,Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human papillomavirus infection,Huntington disease,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Longevity regulating pathway,MAPK signaling pathway,Measles,Melanoma,MicroRNAs in cancer,Mitophagy - animal,Neurotrophin signaling pathway,Non-small cell lung cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Parkinson disease,Pathways in cancer,Platinum drug resistance,Prostate cancer,Proteoglycans in cancer,Shigellosis,Small cell lung cancer,Sphingolipid signaling pathway,Thyroid cancer,Thyroid hormone signaling pathway,Transcriptional misregulation in cancer,Viral carcinogenesis,Wnt signaling pathway,p53 signaling pathway
TPR	Amyotrophic lateral sclerosis,Pathways in cancer,RNA transport,Thyroid cancer
VCP	Amyotrophic lateral sclerosis,Legionellosis,Pathways of neurodegeneration - multiple diseases,Protein processing in endoplasmic reticulum
NUP37	Amyotrophic lateral sclerosis,RNA transport
DERL1	Amyotrophic lateral sclerosis,Pathways of neurodegeneration - multiple diseases,Protein processing in endoplasmic reticulum
NUP85	Amyotrophic lateral sclerosis,RNA transport
SPG11	Amyotrophic lateral sclerosis,Pathways of neurodegeneration - multiple diseases
NUP214	Amyotrophic lateral sclerosis,RNA transport
SEH1L	Amyotrophic lateral sclerosis,RNA transport,mTOR signaling pathway
TOMM40L	Amyotrophic lateral sclerosis,Pathways of neurodegeneration - multiple diseases
DCTN5	Amyotrophic lateral sclerosis,Huntington disease,Pathways of neurodegeneration - multiple diseases,Salmonella infection,Vasopressin-regulated water reabsorption
CAT	Amyotrophic lateral sclerosis,Carbon metabolism,FoxO signaling pathway,Glyoxylate and dicarboxylate metabolism,Longevity regulating pathway,Longevity regulating pathway - multiple species,Metabolic pathways,Metabolic pathways,Pathways of neurodegeneration - multiple diseases,Peroxisome,Peroxisome,Phenylalanine metabolism,Tryptophan metabolism
RAE1	Amyotrophic lateral sclerosis,Influenza A,RNA transport
DNAH17	Amyotrophic lateral sclerosis,Huntington disease,Pathways of neurodegeneration - multiple diseases
SQSTM1	Amyotrophic lateral sclerosis,Autophagy - animal,Cellular senescence,Fluid shear stress and atherosclerosis,Mitophagy - animal,Necroptosis,Osteoclast differentiation,Pathways of neurodegeneration - multiple diseases,Shigellosis
VAPB	Amyotrophic lateral sclerosis,Cholesterol metabolism,Pathways of neurodegeneration - multiple diseases
NRG2	Amyotrophic lateral sclerosis,EGFR tyrosine kinase inhibitor resistance,ErbB signaling pathway
NUP155	Amyotrophic lateral sclerosis,RNA transport
NUP93	Amyotrophic lateral sclerosis,RNA transport
MATR3	Amyotrophic lateral sclerosis
NUP58	Amyotrophic lateral sclerosis,RNA transport
FIG4	Amyotrophic lateral sclerosis,Inositol phosphate metabolism,Metabolic pathways,Pathways of neurodegeneration - multiple diseases
NUP153	Amyotrophic lateral sclerosis,RNA transport
CCS	Amyotrophic lateral sclerosis,Pathways of neurodegeneration - multiple diseases
DHFR2	Antifolate resistance,Biosynthesis of cofactors,Folate biosynthesis,Metabolic pathways,One carbon pool by folate
FOLR1	Antifolate resistance,Antifolate resistance,Endocytosis,Endocytosis
FOLR2	Antifolate resistance,Endocytosis
FPGS	Antifolate resistance,Biosynthesis of cofactors,Folate biosynthesis,Metabolic pathways
ALOX12	Antifolate resistance,Arachidonic acid metabolism,Inflammatory mediator regulation of TRP channels,Metabolic pathways,Serotonergic synapse
SHMT1	Antifolate resistance,Biosynthesis of amino acids,Biosynthesis of cofactors,Carbon metabolism,Glycine serine and threonine metabolism,Glyoxylate and dicarboxylate metabolism,Metabolic pathways,One carbon pool by folate
SHMT2	Antifolate resistance,Biosynthesis of amino acids,Biosynthesis of cofactors,Carbon metabolism,Glycine serine and threonine metabolism,Glyoxylate and dicarboxylate metabolism,Metabolic pathways,One carbon pool by folate
RFC1	Antifolate resistance,DNA replication,Mismatch repair,Nucleotide excision repair,Vitamin digestion and absorption
TYMS	Antifolate resistance,Metabolic pathways,One carbon pool by folate,Pyrimidine metabolism
GGH	Antifolate resistance,Biosynthesis of cofactors,Folate biosynthesis
KIR2DL1	Antigen processing and presentation,Antigen processing and presentation,Graft-versus-host disease,Natural killer cell mediated cytotoxicity,Natural killer cell mediated cytotoxicity
PSME3	Antigen processing and presentation,Hepatitis C,Proteasome
IFI30	Antigen processing and presentation
KIR3DL3	Antigen processing and presentation,Graft-versus-host disease,Natural killer cell mediated cytotoxicity
CTSB	Antigen processing and presentation,Apoptosis,Autophagy - animal,Lysosome,NOD-like receptor signaling pathway,Renin secretion
CTSL	Antigen processing and presentation,Apoptosis,Autophagy - animal,Fluid shear stress and atherosclerosis,Lysosome,Phagosome,Proteoglycans in cancer,Rheumatoid arthritis
CTSS	Antigen processing and presentation,Apoptosis,Lysosome,Phagosome,Tuberculosis
HSPA1A	Antigen processing and presentation,Endocytosis,Estrogen signaling pathway,Legionellosis,Lipid and atherosclerosis,Longevity regulating pathway - multiple species,MAPK signaling pathway,Measles,Prion disease,Protein processing in endoplasmic reticulum,Spliceosome,Toxoplasmosis
HSP90AA1	Antigen processing and presentation,Chemical carcinogenesis - receptor activation,Estrogen signaling pathway,Fluid shear stress and atherosclerosis,IL-17 signaling pathway,Lipid and atherosclerosis,NOD-like receptor signaling pathway,Necroptosis,PI3K-Akt signaling pathway,Pathways in cancer,Progesterone-mediated oocyte maturation,Prostate cancer,Protein processing in endoplasmic reticulum,Salmonella infection,Th17 cell differentiation
KIR2DL3	Antigen processing and presentation,Antigen processing and presentation,Graft-versus-host disease,Graft-versus-host disease,Natural killer cell mediated cytotoxicity,Natural killer cell mediated cytotoxicity
KIR2DL4	Antigen processing and presentation,Cellular senescence
KIR2DS4	Antigen processing and presentation,Natural killer cell mediated cytotoxicity
KIR3DL1	Antigen processing and presentation,Graft-versus-host disease,Natural killer cell mediated cytotoxicity
KIR3DL2	Antigen processing and presentation,Graft-versus-host disease,Natural killer cell mediated cytotoxicity
CIITA	Antigen processing and presentation,Influenza A,Primary immunodeficiency,Toxoplasmosis,Tuberculosis
NFYA	Antigen processing and presentation,Spinocerebellar ataxia,Tuberculosis
NFYB	Antigen processing and presentation,Human T-cell leukemia virus 1 infection,Tuberculosis
NFYC	Antigen processing and presentation,Tuberculosis
B2M	Antigen processing and presentation,Epstein-Barr virus infection,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection
RFX5	Antigen processing and presentation,Primary immunodeficiency,Tuberculosis
RFXAP	Antigen processing and presentation,Primary immunodeficiency,Tuberculosis
CALR	Antigen processing and presentation,Chagas disease,Epstein-Barr virus infection,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Phagosome,Protein processing in endoplasmic reticulum
CANX	Antigen processing and presentation,Human T-cell leukemia virus 1 infection,Phagosome,Protein processing in endoplasmic reticulum,Thyroid hormone synthesis
RFXANK	Antigen processing and presentation,Primary immunodeficiency,Tuberculosis
CD4	Antigen processing and presentation,Cell adhesion molecules,Cytokine-cytokine receptor interaction,Hematopoietic cell lineage,Human T-cell leukemia virus 1 infection,Human immunodeficiency virus 1 infection,PD-L1 expression and PD-1 checkpoint pathway in cancer,Primary immunodeficiency,T cell receptor signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Yersinia infection
CD8A	Antigen processing and presentation,Cell adhesion molecules,Hematopoietic cell lineage,Primary immunodeficiency,T cell receptor signaling pathway,Yersinia infection
CD8B	Antigen processing and presentation,Cell adhesion molecules,Hematopoietic cell lineage,Primary immunodeficiency,T cell receptor signaling pathway,Yersinia infection
CD74	Antigen processing and presentation,Herpes simplex virus 1 infection,Tuberculosis
KLF2	Apelin signaling pathway,Fluid shear stress and atherosclerosis,FoxO signaling pathway
JAG1	Apelin signaling pathway,Breast cancer,Chemical carcinogenesis - receptor activation,Endocrine resistance,Human papillomavirus infection,Notch signaling pathway,Pathways in cancer,TNF signaling pathway,Th1 and Th2 cell differentiation
APLNR	Apelin signaling pathway,Neuroactive ligand-receptor interaction
RRAS2	Apelin signaling pathway,Autophagy - animal,C-type lectin receptor signaling pathway,Cellular senescence,MAPK signaling pathway,Mitophagy - animal,Phospholipase D signaling pathway,Proteoglycans in cancer,Ras signaling pathway,Regulation of actin cytoskeleton,cAMP signaling pathway
MRAS	Apelin signaling pathway,Autophagy - animal,C-type lectin receptor signaling pathway,Cellular senescence,MAPK signaling pathway,Mitophagy - animal,Phospholipase D signaling pathway,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton
MEF2A	Apelin signaling pathway,Fluid shear stress and atherosclerosis,Parathyroid hormone synthesis secretion and action,cGMP-PKG signaling pathway
MEF2C	Apelin signaling pathway,Fluid shear stress and atherosclerosis,MAPK signaling pathway,Oxytocin signaling pathway,Parathyroid hormone synthesis secretion and action,Transcriptional misregulation in cancer,cGMP-PKG signaling pathway
MEF2D	Apelin signaling pathway,Parathyroid hormone synthesis secretion and action,cGMP-PKG signaling pathway
MYLK	Apelin signaling pathway,Calcium signaling pathway,Focal adhesion,Gastric acid secretion,Oxytocin signaling pathway,Platelet activation,Regulation of actin cytoskeleton,Vascular smooth muscle contraction,cGMP-PKG signaling pathway
NOTCH3	Apelin signaling pathway,Breast cancer,Endocrine resistance,Human papillomavirus infection,MicroRNAs in cancer,Notch signaling pathway,Pathways in cancer,Th1 and Th2 cell differentiation,Thyroid hormone signaling pathway
NRF1	Apelin signaling pathway,Huntington disease
PLAT	Apelin signaling pathway,Complement and coagulation cascades,Fluid shear stress and atherosclerosis,Prostate cancer,Transcriptional misregulation in cancer
ADCY10	Apelin signaling pathway,Circadian entrainment,Growth hormone synthesis secretion and action,Metabolic pathways,Purine metabolism,Thermogenesis,cAMP signaling pathway
SPHK2	Apelin signaling pathway,Calcium signaling pathway,Fc gamma R-mediated phagocytosis,Metabolic pathways,Phospholipase D signaling pathway,Sphingolipid metabolism,Sphingolipid signaling pathway,Tuberculosis,VEGF signaling pathway
ACTA2	Apelin signaling pathway,Relaxin signaling pathway,Vascular smooth muscle contraction
RPS6	Apelin signaling pathway,Coronavirus disease - COVID-19,EGFR tyrosine kinase inhibitor resistance,HIF-1 signaling pathway,Insulin signaling pathway,PI3K-Akt signaling pathway,Proteoglycans in cancer,Ribosome,Thermogenesis,mTOR signaling pathway
RRAS	Apelin signaling pathway,Autophagy - animal,Axon guidance,C-type lectin receptor signaling pathway,Cellular senescence,MAPK signaling pathway,Mitophagy - animal,Phospholipase D signaling pathway,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Salmonella infection,cAMP signaling pathway
RYR1	Apelin signaling pathway,Calcium signaling pathway,Circadian entrainment,Long-term depression,Oxytocin signaling pathway,Pathways of neurodegeneration - multiple diseases,Prion disease,Spinocerebellar ataxia
SPP1	Apelin signaling pathway,ECM-receptor interaction,Focal adhesion,GnRH secretion,Human papillomavirus infection,PI3K-Akt signaling pathway,Toll-like receptor signaling pathway
TFAM	Apelin signaling pathway,Huntington disease
UCP1	Apelin signaling pathway,Huntington disease,PPAR signaling pathway,Thermogenesis
MYLK2	Apelin signaling pathway,Calcium signaling pathway,Focal adhesion,Gastric acid secretion,Oxytocin signaling pathway,Platelet activation,Regulation of actin cytoskeleton,Vascular smooth muscle contraction,cGMP-PKG signaling pathway
SPHK1	Apelin signaling pathway,Calcium signaling pathway,Fc gamma R-mediated phagocytosis,Metabolic pathways,Phospholipase D signaling pathway,Sphingolipid metabolism,Sphingolipid signaling pathway,Tuberculosis,VEGF signaling pathway
PARP2	Apoptosis,Base excision repair
PARP3	Apoptosis,Base excision repair
CTSC	Apoptosis,Lysosome
PARP1	Apoptosis,Base excision repair,Diabetic cardiomyopathy,NF-kappa B signaling pathway,Necroptosis
PARP4	Apoptosis,Base excision repair
CSF2RB	Apoptosis,Cytokine-cytokine receptor interaction,JAK-STAT signaling pathway,Pathways in cancer
CTSD	Apoptosis,Autophagy - animal,Diabetic cardiomyopathy,Estrogen signaling pathway,Lysosome,Sphingolipid signaling pathway,Tuberculosis
CTSH	Apoptosis,Lysosome
CTSK	Apoptosis,Lysosome,Osteoclast differentiation,Rheumatoid arthritis,Toll-like receptor signaling pathway
CTSZ	Apoptosis,Lysosome
GADD45A	Apoptosis,Basal cell carcinoma,Breast cancer,Cell cycle,Cellular senescence,Chronic myeloid leukemia,Colorectal cancer,Endometrial cancer,Epstein-Barr virus infection,FoxO signaling pathway,Gastric cancer,Glioma,Hepatocellular carcinoma,MAPK signaling pathway,Melanoma,NF-kappa B signaling pathway,Non-small cell lung cancer,Pancreatic cancer,Pathways in cancer,Small cell lung cancer,Thyroid cancer,Transcriptional misregulation in cancer,p53 signaling pathway
DFFA	Apoptosis
DFFB	Apoptosis
ENDOG	Apoptosis
BBC3	Apoptosis,Apoptosis - multiple species,Colorectal cancer,Hippo signaling pathway,Huntington disease,Measles,Pathways in cancer,Platinum drug resistance,p53 signaling pathway
HTRA2	Apoptosis,Apoptosis - multiple species,Parkinson disease,Pathways of neurodegeneration - multiple diseases
BIRC2	Apoptosis,Apoptosis - multiple species,Focal adhesion,Herpes simplex virus 1 infection,Hippo signaling pathway,NF-kappa B signaling pathway,NOD-like receptor signaling pathway,Necroptosis,Pathways in cancer,Platinum drug resistance,Salmonella infection,Small cell lung cancer,TNF signaling pathway,Toxoplasmosis,Transcriptional misregulation in cancer,Ubiquitin mediated proteolysis
BIRC3	Apoptosis,Apoptosis - multiple species,Focal adhesion,Herpes simplex virus 1 infection,Hippo signaling pathway,NF-kappa B signaling pathway,NOD-like receptor signaling pathway,Necroptosis,Pathways in cancer,Platinum drug resistance,Salmonella infection,Small cell lung cancer,TNF signaling pathway,Toxoplasmosis,Transcriptional misregulation in cancer,Ubiquitin mediated proteolysis
XIAP	Apoptosis,Apoptosis - multiple species,Chemical carcinogenesis - receptor activation,Focal adhesion,Human T-cell leukemia virus 1 infection,NF-kappa B signaling pathway,NOD-like receptor signaling pathway,Necroptosis,Pathways in cancer,Platinum drug resistance,Small cell lung cancer,Toxoplasmosis,Ubiquitin mediated proteolysis
BIRC5	Apoptosis,Apoptosis - multiple species,Chemical carcinogenesis - receptor activation,Colorectal cancer,Hepatitis B,Hippo signaling pathway,Pathways in cancer,Platinum drug resistance
LMNA	Apoptosis,Arrhythmogenic right ventricular cardiomyopathy,Dilated cardiomyopathy,Hypertrophic cardiomyopathy
LMNB1	Apoptosis
MCL1	Apoptosis,JAK-STAT signaling pathway,MicroRNAs in cancer,PI3K-Akt signaling pathway
ATM	Apoptosis,Cell cycle,Cellular senescence,FoxO signaling pathway,Homologous recombination,Human T-cell leukemia virus 1 infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,MicroRNAs in cancer,NF-kappa B signaling pathway,Platinum drug resistance,Shigellosis,Transcriptional misregulation in cancer,p53 signaling pathway
NGF	Apoptosis,Calcium signaling pathway,Cytokine-cytokine receptor interaction,Inflammatory mediator regulation of TRP channels,MAPK signaling pathway,Neurotrophin signaling pathway,PI3K-Akt signaling pathway,Rap1 signaling pathway,Ras signaling pathway
NTRK1	Apoptosis,Calcium signaling pathway,Central carbon metabolism in cancer,Inflammatory mediator regulation of TRP channels,MAPK signaling pathway,Neurotrophin signaling pathway,PI3K-Akt signaling pathway,Pathways in cancer,Ras signaling pathway,Thyroid cancer,Transcriptional misregulation in cancer
PMAIP1	Apoptosis,Apoptosis - multiple species,Colorectal cancer,Pathways in cancer,Platinum drug resistance,Viral carcinogenesis,p53 signaling pathway
SEPTIN4	Apoptosis,Apoptosis - multiple species
PIDD1	Apoptosis,NF-kappa B signaling pathway,p53 signaling pathway
DIABLO	Apoptosis,Apoptosis - multiple species
BAK1	Apoptosis,Apoptosis - multiple species,Basal cell carcinoma,Breast cancer,Chronic myeloid leukemia,Colorectal cancer,Endometrial cancer,Epstein-Barr virus infection,Gastric cancer,Glioma,Hepatitis C,Hepatocellular carcinoma,Herpes simplex virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Influenza A,Kaposi sarcoma-associated herpesvirus infection,Measles,Melanoma,MicroRNAs in cancer,Non-small cell lung cancer,Pancreatic cancer,Pathogenic Escherichia coli infection,Pathways in cancer,Pathways of neurodegeneration - multiple diseases,Platinum drug resistance,Protein processing in endoplasmic reticulum,Salmonella infection,Small cell lung cancer,Thyroid cancer,Transcriptional misregulation in cancer,Viral carcinogenesis
PTPN13	Apoptosis
SPTAN1	Apoptosis
LMNB2	Apoptosis
CTSF	Apoptosis,Lysosome
HRK	Apoptosis
CFLAR	Apoptosis,Autophagy - animal,Chagas disease,Hepatitis C,NF-kappa B signaling pathway,Necroptosis,TNF signaling pathway
AIFM1	Apoptosis,Necroptosis
BIRC6	Apoptosis - multiple species,Ubiquitin mediated proteolysis
BOK	Apoptosis - multiple species
BIRC7	Apoptosis - multiple species,Pathways in cancer,Small cell lung cancer,Toxoplasmosis,Ubiquitin mediated proteolysis
PLA2G4B	Arachidonic acid metabolism,Choline metabolism in cancer,Ether lipid metabolism,Fc epsilon RI signaling pathway,Fc gamma R-mediated phagocytosis,Glutamatergic synapse,Glycerophospholipid metabolism,GnRH signaling pathway,Inflammatory mediator regulation of TRP channels,Linoleic acid metabolism,Long-term depression,MAPK signaling pathway,Metabolic pathways,Necroptosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Phospholipase D signaling pathway,Platelet activation,Ras signaling pathway,Serotonergic synapse,VEGF signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
PTGES3	Arachidonic acid metabolism,Chemical carcinogenesis - receptor activation,Metabolic pathways
CYP2U1	Arachidonic acid metabolism,Fatty acid degradation,Metabolic pathways
PLB1	Arachidonic acid metabolism,Ether lipid metabolism,Glycerophospholipid metabolism,Linoleic acid metabolism,Metabolic pathways,Vitamin digestion and absorption,alpha-Linolenic acid metabolism
CYP2B6	Arachidonic acid metabolism,Chemical carcinogenesis - receptor activation,Drug metabolism - cytochrome P450,Lipid and atherosclerosis,Metabolic pathways,Metabolism of xenobiotics by cytochrome P450,Retinol metabolism
CYP2C19	Arachidonic acid metabolism,Chemical carcinogenesis - DNA adducts,Drug metabolism - cytochrome P450,Linoleic acid metabolism,Metabolic pathways,Serotonergic synapse
CYP2C8	Arachidonic acid metabolism,Chemical carcinogenesis - DNA adducts,Drug metabolism - cytochrome P450,Linoleic acid metabolism,Lipid and atherosclerosis,Metabolic pathways,Retinol metabolism,Serotonergic synapse
CYP2C9	Arachidonic acid metabolism,Chemical carcinogenesis - DNA adducts,Drug metabolism - cytochrome P450,Linoleic acid metabolism,Lipid and atherosclerosis,Metabolic pathways,Metabolism of xenobiotics by cytochrome P450,Retinol metabolism,Serotonergic synapse
CYP2E1	Arachidonic acid metabolism,Chemical carcinogenesis - DNA adducts,Drug metabolism - cytochrome P450,Drug metabolism - other enzymes,Linoleic acid metabolism,Metabolic pathways,Metabolism of xenobiotics by cytochrome P450,Non-alcoholic fatty liver disease,Steroid hormone biosynthesis
CYP2J2	Arachidonic acid metabolism,Inflammatory mediator regulation of TRP channels,Linoleic acid metabolism,Lipid and atherosclerosis,Metabolic pathways,Ovarian steroidogenesis,Serotonergic synapse
EPHX2	Arachidonic acid metabolism,Chemical carcinogenesis - receptor activation,Metabolic pathways,Peroxisome
ALOX5	Arachidonic acid metabolism,Fc epsilon RI signaling pathway,Metabolic pathways,Ovarian steroidogenesis,Serotonergic synapse,Toxoplasmosis
GGT5	Arachidonic acid metabolism,Glutathione metabolism,Metabolic pathways,Taurine and hypotaurine metabolism
PLA2G4D	Arachidonic acid metabolism,Choline metabolism in cancer,Ether lipid metabolism,Fc epsilon RI signaling pathway,Fc gamma R-mediated phagocytosis,Glutamatergic synapse,Glycerophospholipid metabolism,GnRH signaling pathway,Inflammatory mediator regulation of TRP channels,Linoleic acid metabolism,Long-term depression,MAPK signaling pathway,Metabolic pathways,Necroptosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Phospholipase D signaling pathway,Platelet activation,Ras signaling pathway,Serotonergic synapse,VEGF signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
PLA2G2E	Arachidonic acid metabolism,Ether lipid metabolism,Fat digestion and absorption,Glycerophospholipid metabolism,Linoleic acid metabolism,Metabolic pathways,Pancreatic secretion,Ras signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
CYP4F3	Arachidonic acid metabolism,Metabolic pathways
LTC4S	Arachidonic acid metabolism,Metabolic pathways
PLA2G3	Arachidonic acid metabolism,Ether lipid metabolism,Fat digestion and absorption,Glycerophospholipid metabolism,Linoleic acid metabolism,Metabolic pathways,Pancreatic secretion,Ras signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
PLA2G1B	Arachidonic acid metabolism,Ether lipid metabolism,Fat digestion and absorption,Glycerophospholipid metabolism,Linoleic acid metabolism,Metabolic pathways,Pancreatic secretion,Ras signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
PLA2G4A	Arachidonic acid metabolism,Choline metabolism in cancer,Ether lipid metabolism,Fc epsilon RI signaling pathway,Fc gamma R-mediated phagocytosis,Glutamatergic synapse,Glycerophospholipid metabolism,GnRH signaling pathway,Inflammatory mediator regulation of TRP channels,Linoleic acid metabolism,Long-term depression,MAPK signaling pathway,Metabolic pathways,Necroptosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Phospholipase D signaling pathway,Platelet activation,Ras signaling pathway,Serotonergic synapse,VEGF signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
PLA2G5	Arachidonic acid metabolism,Ether lipid metabolism,Fat digestion and absorption,Glycerophospholipid metabolism,Linoleic acid metabolism,Metabolic pathways,Pancreatic secretion,Ras signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
PTGDS	Arachidonic acid metabolism,Metabolic pathways
PTGIS	Arachidonic acid metabolism,Metabolic pathways
PTGS1	Arachidonic acid metabolism,Metabolic pathways,Platelet activation,Regulation of lipolysis in adipocytes,Serotonergic synapse
PLA2G2F	Arachidonic acid metabolism,Ether lipid metabolism,Fat digestion and absorption,Glycerophospholipid metabolism,Linoleic acid metabolism,Metabolic pathways,Pancreatic secretion,Ras signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
PTGES2	Arachidonic acid metabolism,Metabolic pathways
PLA2G12A	Arachidonic acid metabolism,Ether lipid metabolism,Fat digestion and absorption,Glycerophospholipid metabolism,Linoleic acid metabolism,Metabolic pathways,Pancreatic secretion,Ras signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
PLA2G10	Arachidonic acid metabolism,Ether lipid metabolism,Fat digestion and absorption,Glycerophospholipid metabolism,Linoleic acid metabolism,Metabolic pathways,Pancreatic secretion,Ras signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
PLA2G12B	Arachidonic acid metabolism,Ether lipid metabolism,Fat digestion and absorption,Glycerophospholipid metabolism,Linoleic acid metabolism,Metabolic pathways,Pancreatic secretion,Ras signaling pathway,Vascular smooth muscle contraction,alpha-Linolenic acid metabolism
CYP4F2	Arachidonic acid metabolism,Metabolic pathways
